date,open,high,low,close,volume
2021-12-23,84.31,95.08,85.35,94.42,567804.706
2021-12-24,93.86,101.52,94.41,95.77,444574.474
2021-12-25,95.32,101.07,95.82,98.39,202029.846
2021-12-26,95.79,100.87,98.26,99.63,187605.742
2021-12-27,89.7,103.55,99.73,90.88,440777.573
2021-12-28,83.47,93.85,90.9,85.23,561343.574
2021-12-29,82.39,87.93,85.28,84.05,283093.638
2021-12-30,81.14,87.86,84.11,84.68,239131.989
2021-12-31,83.97,91.06,84.73,85.63,279284.232
2022-01-01,85.52,91.82,85.61,91.82,240864.841
2022-01-02,88.0,92.59,91.82,89.55,196116.902
2022-01-03,88.51,94.07,89.53,88.87,234648.14
2022-01-04,84.34,89.66,88.87,84.72,228137.473
2022-01-05,73.44,87.42,84.74,78.42,459515.053
2022-01-06,74.12,80.35,78.49,78.44,391124.523
2022-01-07,66.11,78.65,78.38,68.74,714675.183
2022-01-08,62.5,71.71,68.87,66.98,520513.927
2022-01-09,65.72,75.65,66.97,74.45,474676.105
2022-01-10,65.0,74.68,74.43,69.58,465541.039
2022-01-11,68.35,75.11,69.58,73.5,375345.553
2022-01-12,72.52,82.97,73.53,81.93,361157.332
2022-01-13,77.8,83.92,81.86,78.43,386628.027
2022-01-14,76.4,83.1,78.4,81.53,246364.123
2022-01-15,80.44,87.96,81.71,87.29,233373.971
2022-01-16,84.43,87.73,87.29,87.16,173264.601
2022-01-17,75.96,87.31,87.16,77.14,313234.781
2022-01-18,73.98,81.42,77.13,80.75,329324.238
2022-01-19,75.75,82.06,80.74,81.14,365785.635
2022-01-20,76.03,85.02,81.16,77.29,415367.207
2022-01-21,61.71,80.88,77.21,64.79,910687.155
2022-01-22,53.81,66.02,64.72,62.89,726805.338
2022-01-23,62.77,70.37,62.92,69.83,607945.258
2022-01-24,59.1,69.86,69.72,66.08,723161.325
2022-01-25,61.69,67.21,66.06,62.87,471998.702
2022-01-26,57.49,66.64,62.9,58.72,879483.595
2022-01-27,50.66,61.69,58.74,54.2,625444.009
2022-01-28,47.52,55.69,54.14,50.43,1173415.489
2022-01-29,50.1,53.65,50.41,50.96,600043.704
2022-01-30,45.54,51.35,50.91,46.3,488974.797
2022-01-31,43.42,52.64,46.3,52.14,1030809.277
2022-02-01,50.51,54.18,52.18,52.23,620621.386
2022-02-02,47.3,53.52,52.27,47.55,600927.629
2022-02-03,46.52,51.5,47.56,51.19,684201.461
2022-02-04,49.0,54.36,51.13,53.92,561279.735
2022-02-05,53.48,58.16,54.03,55.38,656869.487
2022-02-06,53.11,57.25,55.4,56.12,355869.172
2022-02-07,54.37,60.78,56.19,59.43,770922.315
2022-02-08,54.91,59.95,59.43,57.24,569274.868
2022-02-09,54.32,58.01,57.31,57.56,407262.966
2022-02-10,51.87,57.61,57.59,52.22,531601.673
2022-02-11,49.82,54.84,52.26,50.36,396068.326
2022-02-12,49.41,53.74,50.35,52.1,251960.828
2022-02-13,51.04,53.79,52.15,51.67,245399.522
2022-02-14,51.43,54.64,51.66,53.81,258546.029
2022-02-15,53.77,57.15,53.84,56.85,339733.191
2022-02-16,55.18,58.32,56.87,56.26,294152.714
2022-02-17,50.16,57.22,56.23,50.31,309432.336
2022-02-18,48.9,51.87,50.34,50.64,300163.635
2022-02-19,49.92,52.89,50.62,50.48,181952.385
2022-02-20,47.3,50.71,50.5,49.35,202813.985
2022-02-21,48.96,53.97,49.37,50.12,539576.783
2022-02-22,48.44,56.02,50.13,54.79,748884.055
2022-02-23,54.63,65.23,54.8,59.52,862548.569
2022-02-24,50.29,66.11,59.52,65.16,1507948.393
2022-02-25,63.85,73.96,65.18,73.07,890219.94
2022-02-26,72.17,79.69,73.08,78.13,663035.136
2022-02-27,71.2,78.99,78.19,72.52,537978.393
2022-02-28,70.43,96.03,72.54,91.34,893658.67
2022-03-01,86.1,94.92,91.4,89.67,615548.32
2022-03-02,88.17,97.13,89.64,92.37,669615.632
2022-03-03,86.82,94.31,92.33,90.47,470927.305
2022-03-04,82.76,93.55,90.37,83.43,649207.23
2022-03-05,80.3,88.7,83.44,87.62,507978.516
2022-03-06,78.56,88.33,87.61,79.22,441322.054
2022-03-07,75.58,83.97,79.19,77.81,492604.118
2022-03-08,77.3,87.0,77.77,85.29,625229.608
2022-03-09,84.88,104.86,85.31,99.24,1470252.111
2022-03-10,92.49,105.33,99.2,101.15,1331992.628
2022-03-11,87.88,101.81,101.17,88.46,860830.336
2022-03-12,85.81,92.6,88.41,86.08,418580.244
2022-03-13,85.38,92.59,86.13,87.43,434740.785
2022-03-14,86.6,95.0,87.37,94.9,604142.937
2022-03-15,87.88,95.81,94.92,88.5,415869.826
2022-03-16,85.98,91.09,88.53,89.19,503930.92
2022-03-17,86.45,90.44,89.27,86.89,331211.177
2022-03-18,82.62,88.82,86.85,88.59,502745.739
2022-03-19,87.36,93.64,88.61,92.19,473560.04
2022-03-20,89.75,94.52,92.18,90.74,336373.551
2022-03-21,90.37,97.81,90.76,95.78,511818.329
2022-03-22,92.21,96.57,95.8,93.11,366906.479
2022-03-23,92.32,96.71,93.07,94.94,345300.615
2022-03-24,91.75,95.83,94.95,93.71,329590.686
2022-03-25,88.78,94.95,93.7,90.43,319873.736
2022-03-26,88.95,93.95,90.42,91.36,166685.091
2022-03-27,89.69,94.63,91.4,94.18,143408.339
2022-03-28,92.89,101.76,94.19,97.25,507037.625
2022-03-29,97.09,109.98,97.09,109.03,737262.706
2022-03-30,103.61,111.6,109.09,106.04,409923.358
2022-03-31,101.72,108.9,106.03,103.0,304551.669
