date,open,high,low,close,volume
2021-12-23,116.17,125.0,116.74,121.37,1167520.073
2021-12-24,113.36,124.7,121.48,114.93,964367.566
2021-12-25,112.15,116.99,115.01,114.86,945831.649
2021-12-26,109.41,118.0,114.82,115.07,954841.18
2021-12-27,113.29,121.04,115.08,113.96,715791.389
2021-12-28,104.39,116.7,113.96,107.05,1490499.04
2021-12-29,102.42,110.76,107.09,103.11,1048028.994
2021-12-30,98.2,105.57,103.17,101.73,1204592.93
2021-12-31,100.26,111.98,101.8,109.4,1382739.715
2022-01-01,108.22,114.79,109.43,114.26,591710.869
2022-01-02,112.0,117.53,114.27,113.21,627814.479
2022-01-03,105.98,114.14,113.13,108.09,764544.685
2022-01-04,102.84,109.28,108.09,103.3,829313.049
2022-01-05,90.5,106.59,103.27,97.36,1237629.233
2022-01-06,91.01,98.01,97.37,95.14,1004534.468
2022-01-07,85.02,95.46,95.11,86.79,1606048.93
2022-01-08,79.2,89.58,86.85,83.91,1274164.761
2022-01-09,82.44,91.93,83.95,89.34,920003.465
2022-01-10,80.25,90.99,89.31,84.46,1245316.595
2022-01-11,83.23,91.04,84.47,89.66,802221.388
2022-01-12,88.84,96.99,89.66,96.02,927209.32
2022-01-13,89.14,97.29,95.99,89.76,790078.608
2022-01-14,87.25,91.77,89.7,90.41,702434.256
2022-01-15,89.53,94.4,90.43,93.08,490865.518
2022-01-16,91.86,94.96,93.08,92.34,427825.561
2022-01-17,85.39,92.64,92.34,86.68,696741.127
2022-01-18,83.63,87.45,86.72,86.02,591333.736
2022-01-19,81.12,86.45,86.03,82.64,573569.634
2022-01-20,78.71,87.89,82.61,79.35,722013.749
2022-01-21,64.0,80.3,79.3,66.07,2364057.938
2022-01-22,53.0,67.57,66.04,59.8,2945266.733
2022-01-23,59.08,66.9,59.85,64.85,1871335.365
2022-01-24,55.19,64.9,64.87,63.05,2080434.294
2022-01-25,61.71,70.6,63.1,68.08,1755746.119
2022-01-26,64.39,73.57,68.04,65.89,2216427.634
2022-01-27,61.18,67.99,65.92,64.73,1597967.115
2022-01-28,61.77,67.59,64.7,67.06,1093567.144
2022-01-29,66.92,73.59,67.06,71.95,1181319.712
2022-01-30,66.71,72.44,71.95,67.98,854687.276
2022-01-31,64.24,70.76,68.0,69.92,1292251.444
2022-02-01,68.58,73.9,69.93,73.37,1613042.956
2022-02-02,67.51,74.87,73.36,67.87,1511662.62
2022-02-03,65.03,69.23,67.89,68.49,1178312.539
2022-02-04,67.48,77.91,68.42,77.91,1394542.014
2022-02-05,75.02,80.99,77.87,77.09,1104644.042
2022-02-06,74.15,79.24,77.08,79.05,621474.922
2022-02-07,77.48,85.45,79.02,83.23,1259378.847
2022-02-08,81.73,93.17,83.24,86.45,2016984.696
2022-02-09,84.52,92.14,86.48,90.18,1046751.841
2022-02-10,85.13,95.15,90.12,91.18,1782024.433
2022-02-11,79.93,92.69,91.22,81.81,1518998.465
