date,open,high,low,close,volume
2021-12-23,26.42,28.98,27.4,28.38,1495063.6
2021-12-24,26.74,29.77,28.38,26.87,1402630.1
2021-12-25,26.61,29.81,26.88,29.79,1309410.0
2021-12-26,28.68,32.34,29.78,32.17,1949922.7
2021-12-27,29.56,32.814,32.17,29.68,1438339.9
2021-12-28,26.06,29.71,29.7,26.57,3754874.7
2021-12-29,25.15,28.19,26.57,27.98,2429216.1
2021-12-30,26.41,30.56,27.97,30.19,2525016.9
2021-12-31,30.13,33.43,30.18,32.43,3965853.4
2022-01-01,32.37,37.09,32.42,36.33,3633485.8
2022-01-02,34.08,36.91,36.36,35.54,1440898.4
2022-01-03,34.23,40.0,35.54,39.29,2850951.0
2022-01-04,37.53,44.8,39.25,42.05,5012512.0
2022-01-05,34.63,43.26,42.04,38.67,4200224.6
2022-01-06,35.43,41.47,38.67,40.04,4602839.15
2022-01-07,37.54,44.68,40.06,38.54,5735989.48
2022-01-08,34.03,40.36,38.54,35.87,3904416.22
2022-01-09,34.12,38.11,35.87,34.99,3146335.49
2022-01-10,32.88,38.17,34.98,37.83,3940262.37
2022-01-11,36.13,39.94,37.89,38.71,3181975.04
2022-01-12,38.58,42.38,38.69,40.25,2931206.21
2022-01-13,37.45,41.31,40.26,37.62,2582439.54
2022-01-14,36.71,40.83,37.6,40.44,1641593.58
2022-01-15,39.12,40.98,40.42,39.16,1053718.65
2022-01-16,38.86,43.89,39.14,43.71,2207587.06
2022-01-17,37.93,44.55,43.7,39.15,2770948.84
2022-01-18,36.17,40.1,39.14,38.27,2084726.59
2022-01-19,35.34,38.85,38.25,37.07,1817513.37
2022-01-20,36.97,42.13,37.04,38.97,3401759.23
2022-01-21,32.08,41.1,38.95,34.64,5219943.33
2022-01-22,27.34,35.08,34.62,29.27,4644088.41
2022-01-23,29.12,34.78,29.29,34.65,4376984.78
2022-01-24,29.86,37.1,34.64,36.03,6103622.12
2022-01-25,34.77,37.23,36.05,35.92,3894212.27
2022-01-26,31.16,36.37,35.9,32.35,5106487.71
2022-01-27,28.37,33.07,32.35,30.0,5210013.37
2022-01-28,27.71,30.3,29.99,29.5,3363761.44
2022-01-29,28.28,30.26,29.49,29.1,2166191.88
2022-01-30,26.37,29.21,29.08,27.19,2558194.15
2022-01-31,25.51,28.96,27.18,28.07,2102031.91
2022-02-01,27.79,29.87,28.08,28.86,2267234.18
2022-02-02,26.13,29.02,28.87,26.33,1887933.13
2022-02-03,25.6,30.25,26.36,29.72,3754723.62
2022-02-04,28.55,31.43,29.71,31.13,2377606.12
2022-02-05,29.95,32.32,31.14,30.76,1775654.75
2022-02-06,30.12,31.98,30.76,31.31,1419526.81
2022-02-07,30.52,33.22,31.31,31.63,3424965.17
2022-02-08,29.73,32.67,31.63,30.42,1845719.6
2022-02-09,29.56,31.5,30.43,30.94,1318575.21
2022-02-10,28.73,31.32,30.94,29.1,1752293.84
2022-02-11,26.18,29.39,29.12,26.56,2118397.68
2022-02-12,26.01,28.36,26.56,27.07,1673874.89
2022-02-13,25.9,27.66,27.08,26.19,958699.3
2022-02-14,25.37,27.47,26.18,27.16,1267070.5
2022-02-15,27.16,29.24,27.17,29.01,1306633.24
2022-02-16,27.61,29.26,28.98,28.51,969455.51
2022-02-17,27.52,30.9,28.52,28.07,2831350.29
2022-02-18,26.71,29.08,28.07,26.85,1739856.49
2022-02-19,26.07,27.43,26.86,26.69,508045.21
2022-02-20,25.39,26.91,26.69,26.09,890032.3
2022-02-21,23.64,27.33,26.1,23.83,1524363.25
2022-02-22,23.0,25.39,23.83,24.84,1372116.06
2022-02-23,24.59,27.02,24.82,25.15,1781732.38
2022-02-24,21.53,25.56,25.17,24.86,3416152.36
2022-02-25,24.26,27.52,24.87,27.3,2037463.73
2022-02-26,27.16,30.76,27.29,29.89,2295782.02
2022-02-27,26.3,29.94,29.9,26.8,1478153.35
2022-02-28,26.39,31.8,26.78,31.38,3501795.97
2022-03-01,30.22,33.1,31.38,31.15,2202188.22
2022-03-02,29.85,32.82,31.16,32.26,2027919.24
2022-03-03,31.14,34.46,32.26,34.01,2675623.69
2022-03-04,30.27,34.71,34.02,30.51,2087562.62
2022-03-05,29.52,31.7,30.5,30.85,1344812.42
2022-03-06,27.89,30.94,30.84,28.14,1867625.46
2022-03-07,27.11,29.56,28.15,28.29,2032538.96
2022-03-08,27.34,29.32,28.3,27.87,1460317.16
2022-03-09,27.79,31.34,27.88,30.07,1572666.05
2022-03-10,27.42,30.35,30.06,28.05,1328589.97
2022-03-11,26.91,28.5,28.05,27.47,1395353.86
2022-03-12,27.17,28.27,27.47,27.21,532984.79
2022-03-13,25.99,27.53,27.23,26.25,816034.66
2022-03-14,25.76,27.18,26.25,26.83,1125659.25
2022-03-15,26.17,27.77,26.84,26.91,1169712.03
2022-03-16,26.53,29.11,26.9,28.96,1526666.35
2022-03-17,27.95,29.01,28.95,28.17,820044.13
2022-03-18,27.21,28.8,28.17,28.63,853375.46
2022-03-19,28.36,29.45,28.63,28.65,982192.43
2022-03-20,27.5,28.85,28.66,27.83,740797.74
2022-03-21,27.56,28.4,27.84,27.93,887788.89
2022-03-22,27.67,29.03,27.93,28.03,1307864.76
2022-03-23,27.22,28.5,28.03,28.26,1231000.69
2022-03-24,27.96,29.51,28.25,29.27,1504520.12
2022-03-25,27.7,30.01,29.26,28.15,1639965.61
2022-03-26,28.01,28.98,28.13,28.8,1111650.14
2022-03-27,28.12,29.97,28.81,29.95,870448.77
2022-03-28,29.2,31.53,29.95,29.36,2444104.77
2022-03-29,29.31,31.69,29.37,30.24,2094006.68
2022-03-30,29.3,31.32,30.23,30.02,1646692.78
2022-03-31,28.4,31.34,30.03,28.9,1833409.14
2022-04-01,27.72,29.7,28.91,29.41,1097910.62
2022-04-02,29.23,32.8,29.42,31.31,2380553.63
2022-04-03,30.52,33.29,31.32,31.97,1588026.45
2022-04-04,30.07,32.54,31.97,30.84,1488196.4
2022-04-05,29.16,31.24,30.85,29.3,1074429.66
2022-04-06,26.7,29.44,29.3,26.92,1521525.65
2022-04-07,26.29,27.9,26.91,27.67,893346.28
2022-04-08,26.63,28.98,27.64,26.91,1025922.43
2022-04-09,26.61,27.44,26.89,27.27,390360.62
2022-04-10,26.33,27.43,27.26,26.51,364123.2
2022-04-11,23.31,26.6,26.5,23.85,1506598.69
2022-04-12,23.66,25.48,23.85,24.64,819882.22
2022-04-13,24.1,25.21,24.65,24.69,531416.09
2022-04-14,23.75,25.16,24.69,23.96,885939.63
2022-04-15,23.77,24.38,23.96,24.11,454312.63
2022-04-16,23.85,24.43,24.12,24.18,250671.71
2022-04-17,23.1,24.48,24.19,23.23,329134.56
2022-04-18,22.44,24.15,23.23,24.08,906664.36
2022-04-19,23.76,24.74,24.08,24.67,515000.84
2022-04-20,24.02,25.1,24.69,24.28,466234.02
2022-04-21,22.86,24.97,24.29,23.32,610855.41
2022-04-22,22.89,23.87,23.32,23.11,509458.83
2022-04-23,22.77,23.49,23.09,23.21,375835.73
2022-04-24,22.27,23.3,23.21,22.3,388754.87
2022-04-25,20.8,22.37,22.3,22.12,1257615.44
2022-04-26,20.0,22.29,22.13,20.31,1070224.4
2022-04-27,20.13,21.9,20.3,21.45,957064.98
2022-04-28,20.42,21.5,21.45,20.74,1046414.62
