date,open,high,low,close,volume
2021-12-23,99.5,108.01,101.64,107.47,74640.235
2021-12-24,103.68,109.72,107.47,104.62,60973.986
2021-12-25,103.57,110.56,104.7,109.27,45814.289
2021-12-26,105.49,109.32,109.25,107.62,38052.223
2021-12-27,106.36,111.73,107.65,107.05,57797.768
2021-12-28,98.53,107.84,106.9,99.74,84718.164
2021-12-29,92.74,100.73,99.85,93.8,80911.756
2021-12-30,91.84,96.69,93.78,95.03,48441.501
2021-12-31,91.1,97.92,94.97,93.21,71217.002
2022-01-01,91.34,95.25,93.17,94.19,56460.83
2022-01-02,93.21,96.73,94.07,96.42,50592.568
2022-01-03,92.0,97.93,96.34,94.38,128428.437
2022-01-04,92.63,96.74,94.39,92.8,96826.112
2022-01-05,75.0,94.91,92.85,80.37,248884.681
2022-01-06,75.43,81.56,80.36,79.02,207340.583
2022-01-07,70.31,79.12,79.05,73.54,171366.553
2022-01-08,67.7,75.78,73.6,70.4,113416.547
2022-01-09,69.01,74.21,70.33,71.89,78277.461
2022-01-10,65.2,73.15,71.9,68.37,93637.262
2022-01-11,67.55,73.46,68.37,72.75,85628.002
2022-01-12,72.18,79.55,72.75,78.18,77333.13
2022-01-13,72.85,78.75,78.1,73.12,66492.284
2022-01-14,70.92,75.71,73.08,73.7,58902.407
2022-01-15,73.01,76.26,73.87,75.35,35466.995
2022-01-16,74.52,82.66,75.42,80.29,129187.929
2022-01-17,75.17,83.65,80.3,76.55,110455.547
2022-01-18,72.13,77.36,76.56,73.86,81378.269
2022-01-19,70.52,74.17,73.91,71.78,55471.264
2022-01-20,68.77,75.94,71.92,69.09,63045.709
2022-01-21,56.95,69.28,68.97,58.39,194082.756
2022-01-22,47.61,59.44,58.33,50.17,325946.961
2022-01-23,49.66,54.82,50.18,54.81,180007.701
2022-01-24,44.44,54.76,54.76,51.24,305866.946
2022-01-25,49.26,52.0,51.23,50.79,157671.997
2022-01-26,48.42,55.66,50.81,49.62,219141.419
2022-01-27,44.92,50.59,49.63,47.47,158317.665
2022-01-28,44.92,48.36,47.47,47.09,162113.553
2022-01-29,46.43,50.17,46.99,49.58,124038.762
2022-01-30,49.13,56.11,49.59,53.4,255690.847
2022-01-31,49.71,55.1,53.41,52.33,365723.779
2022-02-01,51.88,54.98,52.33,53.47,115734.341
2022-02-02,48.18,54.18,53.48,49.12,168518.228
2022-02-03,46.03,49.29,49.1,48.5,108860.563
2022-02-04,47.54,51.67,48.5,51.33,192774.961
2022-02-05,50.8,59.46,51.35,56.8,308176.841
2022-02-06,56.83,68.96,56.83,68.32,534368.13
2022-02-07,66.78,72.11,68.28,68.32,306577.487
2022-02-08,62.3,69.37,68.41,66.79,228675.854
2022-02-09,63.15,68.16,66.81,67.62,149827.901
2022-02-10,62.21,68.33,67.6,63.35,143130.953
2022-02-11,56.69,65.02,63.34,59.07,93145.453
2022-02-12,56.71,61.6,59.09,59.18,105295.54
2022-02-13,56.94,60.57,59.18,58.07,113243.68
2022-02-14,55.08,58.27,58.11,56.86,74977.881
2022-02-15,56.78,63.93,56.93,63.35,147631.478
2022-02-16,61.84,66.27,63.38,63.47,153764.733
2022-02-17,55.8,64.6,63.6,56.37,125871.461
2022-02-18,53.84,58.08,56.39,55.57,83579.943
2022-02-19,53.56,56.96,55.56,54.84,42981.766
2022-02-20,49.66,54.91,54.89,52.16,111596.043
2022-02-21,47.19,56.18,52.15,47.35,134719.544
2022-02-22,46.05,51.45,47.37,51.15,104158.936
2022-02-23,48.62,53.53,51.11,48.79,83480.417
2022-02-24,41.9,49.97,48.82,48.82,171891.138
2022-02-25,46.29,52.06,48.82,51.16,115973.171
2022-02-26,49.95,53.0,51.14,50.44,124851.758
2022-02-27,46.78,51.98,50.38,47.81,98356.048
2022-02-28,47.09,56.97,47.78,54.42,123558.722
2022-03-01,53.41,61.51,54.38,57.19,173962.02
2022-03-02,54.44,59.08,57.22,55.52,88163.654
2022-03-03,51.79,55.84,55.4,53.28,45058.301
2022-03-04,49.02,53.38,53.2,49.83,92241.592
2022-03-05,48.62,53.07,49.79,51.87,68052.495
2022-03-06,48.51,52.32,51.87,48.79,57792.06
2022-03-07,45.66,50.15,48.79,46.15,123276.464
2022-03-08,45.71,47.64,46.14,46.39,75721.399
2022-03-09,46.24,49.48,46.41,48.64,102360.629
2022-03-10,45.01,48.93,48.71,46.68,115577.763
2022-03-11,45.2,48.28,46.65,45.9,99204.718
2022-03-12,45.79,48.6,45.9,46.56,76793.244
2022-03-13,45.0,48.1,46.5,45.18,51578.316
2022-03-14,44.6,48.06,45.2,47.85,113162.414
2022-03-15,45.9,48.98,47.82,46.91,80888.761
2022-03-16,46.33,50.84,46.9,50.46,130007.017
2022-03-17,49.43,51.32,50.43,50.28,64867.948
2022-03-18,48.54,51.45,50.27,50.47,64052.397
2022-03-19,50.18,54.45,50.5,52.05,116458.553
2022-03-20,49.2,52.59,52.02,49.87,71364.341
2022-03-21,49.14,51.96,49.82,50.16,77759.711
2022-03-22,49.78,53.55,50.15,52.46,97975.768
2022-03-23,50.86,58.65,52.45,58.39,157064.226
2022-03-24,58.41,71.84,58.41,70.34,426684.51
2022-03-25,69.56,74.56,70.41,71.62,317393.226
2022-03-26,66.45,73.0,71.62,66.96,169944.317
2022-03-27,64.46,68.49,66.93,68.29,203351.736
2022-03-28,65.29,72.39,68.3,66.44,236988.099
2022-03-29,62.55,70.8,66.42,64.18,514214.285
2022-03-30,61.96,66.71,64.2,64.42,284733.143
2022-03-31,62.01,68.72,64.42,63.53,194640.854
2022-04-01,60.25,67.37,63.52,66.2,163208.292
2022-04-02,64.11,75.58,66.21,65.28,488345.279
2022-04-03,64.03,68.52,65.24,66.65,202212.458
2022-04-04,61.41,67.15,66.65,63.83,167315.683
2022-04-05,61.38,65.34,63.84,61.71,124190.539
2022-04-06,53.11,62.86,61.71,53.44,333627.294
2022-04-07,52.12,55.89,53.38,54.76,146690.831
2022-04-08,50.11,55.3,54.82,50.74,187033.976
2022-04-09,50.62,52.67,50.74,51.77,65639.641
2022-04-10,48.84,52.24,51.8,49.03,112879.973
2022-04-11,44.11,49.14,49.04,45.19,184677.747
2022-04-12,44.86,48.92,45.17,47.29,151746.387
2022-04-13,46.66,48.95,47.36,48.44,93615.849
2022-04-14,45.7,49.57,48.49,46.8,107433.69
2022-04-15,46.75,50.2,46.8,47.96,82796.67
2022-04-16,46.73,48.6,47.92,47.41,43940.441
2022-04-17,45.16,47.91,47.45,45.49,54423.374
2022-04-18,42.89,46.4,45.46,46.22,88392.188
2022-04-19,45.48,47.98,46.23,47.42,53297.777
2022-04-20,45.3,48.46,47.31,46.2,66997.004
2022-04-21,44.39,48.08,46.22,44.95,79937.134
2022-04-22,44.78,46.76,44.95,46.02,58238.045
2022-04-23,44.97,46.13,45.98,45.13,25852.611
2022-04-24,44.14,45.59,45.09,44.4,47731.642
2022-04-25,39.88,44.46,44.44,42.89,106337.999
2022-04-26,37.95,43.46,42.92,38.78,89479.007
2022-04-27,37.15,40.15,38.76,38.81,69316.616
2022-04-28,37.39,40.18,38.8,38.03,65758.833
2022-04-29,33.42,38.69,38.05,34.35,123610.812
2022-04-30,26.53,34.9,34.35,29.08,192881.844
