date,open,high,low,close,volume
2021-12-23,1.3074,1.4904,1.3281,1.4743,97844844.82
2021-12-24,1.3814,1.4911,1.4748,1.3935,57127593.85
2021-12-25,1.3813,1.4607,1.3935,1.4542,36451494.3
2021-12-26,1.4082,1.468,1.4542,1.4549,44040852.16
2021-12-27,1.4512,1.5934,1.4557,1.5164,71946493.29
2021-12-28,1.3761,1.5397,1.5164,1.3998,91052914.49
2021-12-29,1.3218,1.4378,1.3994,1.3322,72044988.27
2021-12-30,1.2979,1.3786,1.3321,1.3585,62342074.95
2021-12-31,1.28,1.3832,1.3582,1.3082,75407241.07
2022-01-01,1.305,1.3799,1.3082,1.3797,49289114.64
2022-01-02,1.3385,1.3917,1.3796,1.3779,36457985.23
2022-01-03,1.3087,1.3782,1.3777,1.3186,58622712.43
2022-01-04,1.2947,1.3519,1.3189,1.3092,53827919.71
2022-01-05,1.194,1.3532,1.3093,1.2304,88384779.1
2022-01-06,1.186,1.2969,1.2303,1.2794,90182146.61
2022-01-07,1.189,1.285,1.2792,1.2093,108193614.4
2022-01-08,1.126,1.254,1.2096,1.1827,92792139.92
2022-01-09,1.1474,1.2068,1.1824,1.1707,59707592.58
2022-01-10,1.0706,1.1813,1.1702,1.1235,101814559.2
2022-01-11,1.1222,1.1963,1.1232,1.1879,65082991.55
2022-01-12,1.1874,1.3141,1.1877,1.313,85302050.58
2022-01-13,1.2273,1.3549,1.313,1.2328,80647676.12
2022-01-14,1.2186,1.31,1.2323,1.2931,75989231.78
2022-01-15,1.2517,1.3193,1.2931,1.2922,37195907.35
2022-01-16,1.2867,1.4236,1.2923,1.4118,107729976.44
2022-01-17,1.3871,1.6068,1.4121,1.6027,213635553.98
2022-01-18,1.4102,1.64,1.6031,1.4589,183975761.78
2022-01-19,1.3259,1.5346,1.4586,1.3366,172084490.06
2022-01-20,1.25,1.427,1.336,1.2589,167831926.13
2022-01-21,1.101,1.2879,1.259,1.1211,271741360.35
2022-01-22,0.9235,1.1562,1.1205,1.0713,345426124.83
2022-01-23,1.0511,1.17,1.0712,1.1249,169612916.38
2022-01-24,0.951,1.1253,1.125,1.0664,266480460.08
2022-01-25,0.9921,1.0748,1.0664,1.043,130784236.71
2022-01-26,1.0227,1.1617,1.043,1.0784,199919647.59
2022-01-27,1.0005,1.0809,1.0779,1.0428,132114958.68
2022-01-28,1.0092,1.0608,1.0429,1.0486,101501039.48
2022-01-29,1.0382,1.0839,1.0486,1.0603,64059801.51
2022-01-30,1.024,1.0776,1.0604,1.0359,52965167.17
2022-01-31,1.01,1.0596,1.0362,1.0524,92189401.73
2022-02-01,1.0352,1.0968,1.0525,1.0965,98217378.69
2022-02-02,1.0232,1.103,1.0966,1.0268,95925063.58
2022-02-03,1.0174,1.0622,1.0274,1.061,81980070.63
2022-02-04,1.0458,1.14,1.0608,1.1398,94235952.67
2022-02-05,1.0972,1.1785,1.1396,1.1255,84337984.66
2022-02-06,1.0983,1.1509,1.1259,1.1436,51689034.46
2022-02-07,1.1261,1.21,1.1438,1.1991,124152495.63
2022-02-08,1.1336,1.2639,1.1991,1.1764,122033524.12
2022-02-09,1.1523,1.216,1.1764,1.1947,81723558.83
2022-02-10,1.1445,1.225,1.1947,1.1515,107401695.38
2022-02-11,1.0676,1.1642,1.1515,1.0803,87692882.07
2022-02-12,1.03,1.0931,1.0804,1.0596,72908261.76
2022-02-13,1.0328,1.0777,1.0595,1.0431,51559918.48
2022-02-14,1.0184,1.0553,1.0429,1.05,72366907.61
2022-02-15,1.0492,1.1163,1.0501,1.1087,74560936.03
2022-02-16,1.066,1.1126,1.1085,1.0833,54454972.34
2022-02-17,1.009,1.0943,1.0834,1.0203,69002542.69
2022-02-18,0.9847,1.043,1.0206,0.9958,90025938.13
2022-02-19,0.9739,1.0196,0.9959,0.9969,68090617.71
2022-02-20,0.9191,0.9983,0.9972,0.9319,110716424.57
2022-02-21,0.852,0.9925,0.9317,0.8572,166847583.48
2022-02-22,0.8139,0.897,0.8575,0.8881,180973463.65
2022-02-23,0.8633,0.9604,0.8883,0.8664,123887036.47
2022-02-24,0.7474,0.905,0.8666,0.8533,272354246.81
2022-02-25,0.8241,0.91,0.8534,0.8997,110950646.59
2022-02-26,0.8817,0.9304,0.8997,0.8873,62117579.09
2022-02-27,0.8327,0.9152,0.8875,0.8569,73938481.08
2022-02-28,0.8425,0.97,0.8567,0.964,111134770.7
2022-03-01,0.94,1.0142,0.964,0.9643,114858104.35
2022-03-02,0.9276,0.9774,0.9643,0.9394,83022741.74
2022-03-03,0.8837,0.946,0.9395,0.9021,71860077.03
2022-03-04,0.827,0.9029,0.9019,0.845,77935400.51
2022-03-05,0.819,0.883,0.8448,0.8654,60894863.14
2022-03-06,0.8196,0.872,0.8652,0.823,44563261.31
2022-03-07,0.7774,0.8469,0.823,0.7932,90145087.52
2022-03-08,0.7876,0.8213,0.7931,0.8021,76973355.12
2022-03-09,0.7993,0.8631,0.802,0.8495,76855159.71
2022-03-10,0.787,0.8541,0.8495,0.807,68907516.56
2022-03-11,0.7826,0.8194,0.8068,0.7884,65030253.53
2022-03-12,0.7856,0.8018,0.7885,0.7898,33024694.01
2022-03-13,0.7807,0.8205,0.7896,0.7875,42300673.43
2022-03-14,0.777,0.813,0.7872,0.8028,52058611.92
2022-03-15,0.7828,0.8172,0.8026,0.7992,53954795.63
2022-03-16,0.7941,0.8401,0.7992,0.8393,71660052.99
2022-03-17,0.8283,0.858,0.8391,0.8365,49071648.19
2022-03-18,0.8216,0.86,0.8363,0.852,44879680.43
2022-03-19,0.851,0.9164,0.8522,0.903,60988670.78
2022-03-20,0.8643,0.916,0.9029,0.879,45508548.46
2022-03-21,0.8631,0.93,0.8788,0.9179,62081430.14
2022-03-22,0.908,0.9887,0.9179,0.9753,97598600.51
2022-03-23,0.9575,1.1104,0.9752,1.1087,202463412.76
2022-03-24,1.0805,1.19,1.1086,1.1314,193739468.76
2022-03-25,1.0723,1.1669,1.1314,1.0966,132892712.11
2022-03-26,1.08,1.1595,1.0969,1.153,79564451.2
2022-03-27,1.1052,1.1872,1.1528,1.1845,65733416.11
2022-03-28,1.158,1.2462,1.1842,1.1694,136032679.49
2022-03-29,1.1667,1.2426,1.1691,1.1909,91591733.3
