date,open,high,low,close,volume
2021-12-23,0.265,0.28999,0.267874,0.287776,107233138
2021-12-24,0.276001,0.288944,0.288012,0.278628,68503639
2021-12-25,0.27617,0.299,0.278646,0.290047,81514313
2021-12-26,0.285355,0.295,0.290221,0.291987,52163707
2021-12-27,0.291253,0.306294,0.292,0.300288,72799019
2021-12-28,0.273376,0.3002,0.299971,0.274101,112878544
2021-12-29,0.26473,0.279754,0.274191,0.266803,84752906
2021-12-30,0.260734,0.275395,0.266735,0.268,83266332
2021-12-31,0.259123,0.276731,0.267936,0.266478,95999824
2022-01-01,0.266061,0.277028,0.266601,0.276802,65984420
2022-01-02,0.27555,0.292476,0.276963,0.292273,74451723
2022-01-03,0.285485,0.297724,0.29211,0.290288,79883542
2022-01-04,0.278531,0.291248,0.290459,0.279308,93705662
2022-01-05,0.2548,0.294916,0.279198,0.26604,137343175
2022-01-06,0.258,0.272361,0.2661,0.2675,147132484
2022-01-07,0.251211,0.268445,0.267581,0.257021,154290138
2022-01-08,0.246704,0.264588,0.257079,0.255091,114294119
2022-01-09,0.253087,0.264047,0.255131,0.261185,85508200
2022-01-10,0.23953,0.264,0.26105,0.253061,119552866
2022-01-11,0.248,0.263698,0.25303,0.263177,97154673
2022-01-12,0.262969,0.2916,0.263154,0.282353,146577395
2022-01-13,0.26862,0.290069,0.282214,0.269407,89622985
2022-01-14,0.26145,0.287781,0.269268,0.265375,151964140
2022-01-15,0.256387,0.269817,0.265387,0.259056,110947765
2022-01-16,0.25464,0.262694,0.259117,0.259124,71063673
2022-01-17,0.25,0.259988,0.259165,0.256133,83416601
2022-01-18,0.248838,0.258129,0.25606,0.253995,96974645
2022-01-19,0.243516,0.255814,0.253995,0.245567,87307180
2022-01-20,0.23,0.252596,0.245463,0.231498,108345897
2022-01-21,0.198468,0.2338,0.23146,0.202862,268638467
2022-01-22,0.1688,0.2082,0.202836,0.19237,273902543
2022-01-23,0.187834,0.201305,0.19237,0.201066,183905376
2022-01-24,0.172087,0.201066,0.201056,0.198106,211018486
2022-01-25,0.187823,0.199581,0.197951,0.196794,164773715
2022-01-26,0.191474,0.208487,0.196881,0.196933,150975805
2022-01-27,0.187312,0.201335,0.19698,0.194019,134867131
2022-01-28,0.189029,0.199512,0.193998,0.198646,111292412
2022-01-29,0.1976,0.204729,0.198649,0.203491,76961664
2022-01-30,0.19284,0.206642,0.20341,0.195399,76059914
2022-01-31,0.189628,0.200958,0.195346,0.199723,119774498
2022-02-01,0.198762,0.206292,0.199691,0.202028,82118047
2022-02-02,0.190513,0.20612,0.201987,0.193151,85708679
2022-02-03,0.188827,0.19547,0.193183,0.19506,91075088
2022-02-04,0.19365,0.21,0.195075,0.209216,100732082
2022-02-05,0.208205,0.216683,0.209209,0.213222,73666552
2022-02-06,0.213067,0.225023,0.213201,0.223926,77957863
2022-02-07,0.219026,0.242083,0.223926,0.239623,149070772
2022-02-08,0.232856,0.25714,0.239793,0.242394,176850860
2022-02-09,0.2345,0.24403,0.242371,0.238854,106664165
2022-02-10,0.228431,0.242887,0.238763,0.23172,105752618
2022-02-11,0.213,0.231773,0.231773,0.215393,100638603
2022-02-12,0.211348,0.224478,0.215367,0.218218,91255420
2022-02-13,0.210243,0.22205,0.218273,0.210311,71171582
2022-02-14,0.205403,0.214034,0.210337,0.210709,85813459
2022-02-15,0.209437,0.222314,0.210719,0.221086,80024701
2022-02-16,0.213592,0.221672,0.22112,0.21874,85292248
2022-02-17,0.201118,0.226323,0.21874,0.202261,116340986
2022-02-18,0.195394,0.208916,0.202428,0.200634,109118379
2022-02-19,0.196464,0.211231,0.200623,0.204174,108718932
2022-02-20,0.193199,0.205923,0.204256,0.194647,96775701
2022-02-21,0.176064,0.200977,0.194657,0.17816,150753431
2022-02-22,0.172863,0.187241,0.17816,0.18564,127543654
2022-02-23,0.1815,0.19379,0.185785,0.181888,92623000
2022-02-24,0.162,0.18635,0.181888,0.182403,211872570
2022-02-25,0.177981,0.192212,0.182464,0.191142,102738771
